iyear,region,region_txt,city,crit1,crit2,crit3,attacktype1,attacktype1_txt,targtype1,targtype1_txt,weaptype1,weaptype1_txt,nkill,nwound
1995,6,South Asia,Kandahar,1,1,1,4,Hijacking,6,Airports & Aircraft,6,Explosives,0.0,0.0
1995,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,6,Airports & Aircraft,6,Explosives,0.0,0.0
2001,6,South Asia,Khodja Baha ud din,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,3.0,1.0
2002,6,South Asia,Khost,1,1,1,3,Bombing/Explosion,4,Military,6,Explosives,0.0,4.0
2002,6,South Asia,Ghazni,1,1,1,3,Bombing/Explosion,8,Educational Institution,6,Explosives,0.0,0.0
2002,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,0.0,0.0
2002,6,South Asia,Kabul,1,1,1,3,Bombing/Explosion,1,Business,6,Explosives,0.0,0.0
2002,6,South Asia,Jalalabad,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,0.0,0.0
2002,6,South Asia,Jalalabad,1,1,1,3,Bombing/Explosion,16,Telecommunication,6,Explosives,0.0,0.0
2003,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,13.0,50.0
2003,6,South Asia,Panjwai district,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,0.0,3.0
2003,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,2,Government (General),6,Explosives,0.0,0.0
2003,6,South Asia,Delaram,1,1,1,1,Assassination,2,Government (General),5,Firearms,1.0,0.0
2003,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,0.0,2.0
2003,6,South Asia,Lashkar Gah,1,1,1,3,Bombing/Explosion,15,Religious Figures/Institutions,6,Explosives,0.0,3.0
2003,6,South Asia,Mian Daw,1,1,1,1,Assassination,14,Private Citizens & Property,5,Firearms,2.0,0.0
2003,6,South Asia,Shahjoy district,1,1,1,2,Armed Assault,18,Tourists,5,Firearms,1.0,0.0
2003,6,South Asia,Kajaki,1,1,1,3,Bombing/Explosion,21,Utilities,6,Explosives,0.0,0.0
2003,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,6,Explosives,0.0,0.0
2003,6,South Asia,Sheikhabad,1,1,1,3,Bombing/Explosion,1,Business,6,Explosives,1.0,8.0
2003,6,South Asia,Lashkar Gah,1,1,1,3,Bombing/Explosion,12,NGO,6,Explosives,0.0,0.0
2003,6,South Asia,Jalalabad,1,1,1,3,Bombing/Explosion,7,Government (Diplomatic),6,Explosives,0.0,0.0
2003,6,South Asia,Nakodak,1,1,1,1,Assassination,15,Religious Figures/Institutions,5,Firearms,1.0,0.0
2003,6,South Asia,Ghorak district,1,1,1,2,Armed Assault,3,Police,5,Firearms,5.0,2.0
2003,6,South Asia,Kandahar,1,1,1,3,Bombing/Explosion,3,Police,6,Explosives,0.0,2.0
